data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
22/01/2017,23,26.3,28,26.2,57,57,52,17,17.3,16.6,988.5,988.5,987.6,1,90,4.8,-3.54,0
22/01/2017,22,28,29.5,28,52,53,46,17.3,17.8,16.7,987.6,987.6,987,3,101,7.4,103.5,0
22/01/2017,21,29.3,31.1,29.3,47,47,39,16.9,16.9,15.2,987.1,987.2,987,3.7,107,8,656.6,0
22/01/2017,20,31.1,31.8,30.9,39,43,38,15.6,17.4,15,987.2,987.9,987.2,1.9,131,5.9,1845,0
22/01/2017,19,31.3,33.5,30.4,42,44,34,16.8,17.1,14.8,987.9,988.6,987.9,3.6,99,5.9,1948,0
22/01/2017,18,33.2,33.2,30.4,38,47,36,17,18.4,15.5,988.6,989.5,988.6,1,313,5,3577,0
22/01/2017,16,29.6,31.8,29.4,49,50,41,17.8,18.9,15.9,990.4,990.9,990.4,2.6,217,5.8,2760,0
22/01/2017,17,30.4,30.9,29,46,52,44,17.6,18.8,16.6,989.5,990.4,989.5,2.7,117,6.5,2009,0
22/01/2017,15,30,30.4,28.1,48,54,46,17.7,19.1,16.6,990.9,991.6,990.9,1.4,139,4.8,3183,0
22/01/2017,14,28.1,29,27,52,58,51,17.4,19.1,17.2,991.6,991.8,991.6,1,207,6.6,2690,0
22/01/2017,13,28.5,28.9,25.8,56,64,54,18.9,19.3,18.1,991.7,991.9,991.7,4.2,118,6.4,2434,0
22/01/2017,12,26.3,27.1,25.5,63,68,61,18.6,19.7,18.3,991.7,991.7,991.5,2.1,39,5.2,2040,0
22/01/2017,11,25.8,25.9,23.5,67,76,66,19.1,19.7,18.9,991.5,991.5,990.7,1.5,82,3,1037,0
22/01/2017,10,23.5,23.5,21.5,76,84,76,19,19.2,18.5,990.7,990.7,990.5,1.4,48,2.4,388.5,0
22/01/2017,9,21.5,22.4,21.5,83,83,77,18.5,18.5,18.1,990.6,990.6,990,1.1,112,2.2,15.02,0
22/01/2017,8,22.3,22.7,22.2,77,78,75,18.2,18.2,18,990,990,989.7,1.3,40,3.8,-3.54,0
22/01/2017,7,22.6,23.8,22.6,75,75,70,18,18,17.9,989.7,990.1,989.7,2.3,75,5,-3.54,0
22/01/2017,6,23.6,24.4,23.6,71,71,67,18,18.1,17.9,990.1,990.2,990,2.6,79,4.5,-3.54,0
22/01/2017,5,24.4,25,24.3,67,67,65,17.9,17.9,17.8,990.1,990.5,990.1,2.5,77,4.4,-3.54,0
22/01/2017,4,24.9,26,24.9,65,65,60,17.8,17.8,17.5,990.4,990.5,990.4,1.4,47,8.8,-3.53,0
22/01/2017,3,26,26.5,24.7,60,74,58,17.5,19.8,17.4,990.4,990.6,990.3,5.2,75,8.8,-3.54,0
22/01/2017,2,24.7,26.8,24.7,74,74,60,19.7,19.7,18.3,990.6,990.6,990.2,0.9,6,3.5,-3.54,0
22/01/2017,1,26.7,27,25.9,60,69,60,18.3,20,18.3,990.2,990.2,989.3,2.3,52,3.7,-3.53,0
