data,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
20/12/2016,15,25.5,54,15.5,937,2.5,324,5.8,3521,0
20/12/2016,4,16.8,96,16.2,936.9,0.4,65,1.2,-3.49,0
20/12/2016,13,23.7,63,16.3,938,2.2,24,7.2,2821,0
20/12/2016,14,24.5,64,17.2,937.6,2.4,328,7.2,2920,0
20/12/2016,5,16.3,96,15.8,936.8,0,302,1.1,-3.45,0
20/12/2016,16,27.4,50,16.1,936.5,2.6,351,5.7,3472,0
20/12/2016,22,21,86,18.5,935.8,0.9,144,3.1,58.93,0
20/12/2016,17,27.7,48,15.7,935.7,1.8,350,7.3,3488,0
20/12/2016,18,28.8,45,15.9,934.8,2.2,261,5.5,2717,0
20/12/2016,0,17,96,16.3,936.7,0.8,53,1.5,-2.8,0
20/12/2016,19,28.5,45,15.6,934.2,1.9,334,5.4,2097,0
20/12/2016,6,16.4,97,15.8,936.9,0,155,1,-3.41,0
20/12/2016,20,22.1,81,18.6,934.5,0.8,96,7.5,1370,0
20/12/2016,21,23.6,76,19.1,935.3,1.1,133,3.3,685.7,0
20/12/2016,7,16.6,97,16.1,936.9,0.1,43,0.7,-3.19,0
20/12/2016,8,16.9,97,16.4,937.1,0,134,0.9,-1.02,0
20/12/2016,9,18.1,97,17.5,937.3,0.9,43,2.2,123.9,0.2
20/12/2016,1,17.5,94,16.5,937.1,0.6,123,2.8,-3.24,0
20/12/2016,10,20,87,17.8,937.5,0.9,353,3.2,633.2,0
20/12/2016,11,21.5,80,17.9,937.6,1.1,8,5.7,1780,0
20/12/2016,12,22.7,71,17.3,938,1.9,360,5.7,1230,0
20/12/2016,2,17.1,96,16.4,937.3,0.1,55,1.8,-3.47,0
20/12/2016,23,20.2,90,18.5,936.5,0.1,80,1.9,-3.51,0
20/12/2016,3,17,96,16.4,937,0,210,1.4,-3.41,0
21/12/2016,0,21.4,73,16.4,936.5,2,6,4.9,-3.53,0
21/12/2016,9,19.6,87,17.5,936.5,1.5,8,3.4,64.38,0
21/12/2016,10,21.4,81,18,936.6,1.4,1,4.6,433.9,0
21/12/2016,1,20.6,75,16.1,936.4,1.9,12,5.4,-3.54,0
21/12/2016,11,21.9,72,16.5,937.1,3.6,20,8.6,1353,0
21/12/2016,12,22.8,69,16.9,937.5,2.7,22,8.1,1482,0
21/12/2016,13,23.6,67,17.2,937.5,2.3,338,8.7,2050,0.2
21/12/2016,2,19.4,82,16.2,936.4,1,23,5.3,-3.54,0
21/12/2016,14,25.1,59,16.5,937.1,3.9,22,8,2625,0
21/12/2016,15,26,57,16.8,936.8,3.5,19,8.2,3222,0
21/12/2016,16,27,51,16,936.5,4.4,17,8.3,2926,0
21/12/2016,17,26.4,53,15.9,936.1,3,44,8.8,3048,0
21/12/2016,18,26,51,15.2,935.7,3.9,21,9.8,1957,0
21/12/2016,19,27.6,46,14.9,935.4,3,10,8.5,1872,0
21/12/2016,20,27.4,48,15.5,935.3,2.7,20,6.4,1413,0
21/12/2016,21,26.1,53,15.7,935.4,1.1,44,5.8,563.3,0
21/12/2016,3,18,89,16.2,936.2,0.2,60,2,-3.54,0
21/12/2016,4,17.6,93,16.5,935.6,0.3,37,1.3,-3.54,0
21/12/2016,5,18.2,92,16.8,935.3,0.6,344,1.8,-3.54,0
21/12/2016,6,17.8,94,16.8,935.3,0.4,324,2,-3.48,0
21/12/2016,7,18.9,90,17.2,935.4,0.8,341,3.5,-2.75,0
21/12/2016,8,19.1,89,17.3,935.9,0.9,27,3.5,-3.19,0
21/12/2016,22,21.9,73,16.9,935.9,0,77,3,13.58,0
21/12/2016,23,20.2,84,17.3,936.9,0,152,1.1,-3.54,0
22/12/2016,1,18.9,90,17.2,938.1,0,122,0.4,-3.54,0
22/12/2016,2,18.3,93,17.1,938,0,189,0.5,-3.54,0
22/12/2016,9,18.2,96,17.6,938,0,37,1.5,118.2,0
22/12/2016,3,18,94,17.1,937.7,0,134,0.6,-3.53,0
22/12/2016,11,23.8,75,19,939.4,3,20,8.7,1394,0
22/12/2016,4,17.8,95,17.1,937.4,0.3,58,0.8,-3.46,0
22/12/2016,5,17.6,96,16.9,937.2,0.1,19,1.1,-3.48,0
22/12/2016,6,17.5,96,16.9,937.3,0,193,0.8,-3.52,0
22/12/2016,10,21.8,85,19.2,939,1.7,306,3.3,426.5,0
22/12/2016,7,17.4,96,16.8,937.3,0,48,0.7,-3.35,0
22/12/2016,12,25.7,65,18.7,939.6,2.7,27,8.7,2306,0
22/12/2016,13,26.1,60,17.8,939.3,2.9,17,7.3,3322,0
22/12/2016,14,26.8,62,18.8,938.7,2.6,286,6.2,2935,0
22/12/2016,23,22.1,74,17.3,937.6,0.5,38,2.1,-2.66,0
22/12/2016,15,29,53,18.3,937.9,1.2,329,6.2,3520,0
22/12/2016,16,29.5,52,18.8,937.2,1.6,72,6.2,3826,0
22/12/2016,17,29.6,51,18.3,936.6,1.2,55,6.2,2218,0
22/12/2016,18,29.6,49,17.7,935.9,2.9,303,6.6,2398,0
22/12/2016,19,29.5,53,18.8,935.5,2.7,314,6.8,1824,0
22/12/2016,20,26.3,51,15.4,935.7,0.5,14,6.2,818.9,0
22/12/2016,21,24.2,60,16.1,936.6,0.6,72,2.4,339,0
22/12/2016,0,19.7,86,17.3,937.7,0,225,0.1,-3.54,0
22/12/2016,8,17.6,96,17,937.3,0.8,63,1.5,-2.09,0
22/12/2016,22,22.7,70,17,936.9,1.1,116,2.4,11.96,0
23/12/2016,19,28.9,48,17,935,2.1,5,6.4,1875,0
23/12/2016,20,28,53,17.6,935.2,1.8,4,4.6,1221,0
23/12/2016,21,26.2,63,18.6,935.2,1,41,4.1,234.2,0
23/12/2016,22,23.8,73,18.7,935.7,0.3,64,2.1,12.48,0
23/12/2016,0,21.2,79,17.4,938,0.2,141,5,-3.38,0
23/12/2016,1,21,77,16.9,938.2,0.3,116,2,-3.5,0
23/12/2016,2,20,84,17.1,938.2,0,157,1.3,-3.48,0
23/12/2016,23,23,76,18.6,936.3,0.5,39,1.7,-3.53,0
23/12/2016,3,19.6,88,17.5,938.2,0.2,101,0.9,-3.44,0
23/12/2016,4,19.6,88,17.5,937.6,0,219,1.2,-3.11,0
23/12/2016,5,19.3,90,17.7,936.8,0,347,1.8,-3.3,0
